2025-08-19 13:53:58.4501776 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(150): void __cdecl ch31::exercises::ex4::test(int,char **): Argument: D:\etmbms\vsprojects\profcppbook\x64\Debug\profcppbook.exe
2025-08-19 13:53:58.4524472 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(150): void __cdecl ch31::exercises::ex4::test(int,char **): Argument: -d
2025-08-19 13:53:58.4528570 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(128): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): given argument: ComplicatedClass
2025-08-19 13:53:58.4533060 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 0: UserCommand
2025-08-19 13:53:58.4541732 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 1: UserCommand
2025-08-19 13:53:58.4546872 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 2: UserCommand
2025-08-19 13:53:58.4550846 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 3: UserCommand
2025-08-19 13:53:58.4554622 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 4: UserCommand
2025-08-19 13:53:58.4558602 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 5: UserCommand
2025-08-19 13:53:58.4562381 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 6: UserCommand
2025-08-19 13:53:58.4566206 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 7: UserCommand
2025-08-19 13:53:58.4570180 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 8: UserCommand
2025-08-19 13:53:58.4574041 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 9: UserCommand
2025-08-19 13:53:58.4577769 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 10: UserCommand
2025-08-19 13:53:58.4581454 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 11: UserCommand
2025-08-19 13:53:58.4585116 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 12: UserCommand
2025-08-19 13:53:58.4588812 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 13: UserCommand
2025-08-19 13:53:58.4592309 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 14: UserCommand
2025-08-19 13:53:58.4595917 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 15: UserCommand
2025-08-19 13:53:58.4599687 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 16: UserCommand
2025-08-19 13:53:58.4603596 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 17: UserCommand
2025-08-19 13:53:58.4607585 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 18: UserCommand
2025-08-19 13:53:58.4611800 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 19: UserCommand
2025-08-19 13:53:58.4615949 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 20: UserCommand
2025-08-19 13:53:58.4619795 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 21: UserCommand
